tf.Tensor(16574.861208076363, shape=(), dtype=float64)
tf.Tensor(13237.74045990459, shape=(), dtype=float64)
tf.Tensor(13462.85155490897, shape=(), dtype=float64)
tf.Tensor(10624.525745111041, shape=(), dtype=float64)
tf.Tensor(7081.156535244717, shape=(), dtype=float64)
tf.Tensor(4834.683613625501, shape=(), dtype=float64)
tf.Tensor(4007.2687940363467, shape=(), dtype=float64)
tf.Tensor(2284.174014160671, shape=(), dtype=float64)
tf.Tensor(1859.951064599782, shape=(), dtype=float64)
tf.Tensor(957.5148671551827, shape=(), dtype=float64)
tf.Tensor(436.25767787887236, shape=(), dtype=float64)
tf.Tensor(461.42367184675385, shape=(), dtype=float64)
tf.Tensor(688.4753606775433, shape=(), dtype=float64)
tf.Tensor(2895.8438286074743, shape=(), dtype=float64)
tf.Tensor(801.7282769548198, shape=(), dtype=float64)
tf.Tensor(1926.9264628225094, shape=(), dtype=float64)
tf.Tensor(1379.754399456638, shape=(), dtype=float64)
tf.Tensor(2897.870234068617, shape=(), dtype=float64)
tf.Tensor(3359.7142222503608, shape=(), dtype=float64)
tf.Tensor(2202.257216134077, shape=(), dtype=float64)
tf.Tensor(1226.6624466194335, shape=(), dtype=float64)
tf.Tensor(1425.0583774565778, shape=(), dtype=float64)
tf.Tensor(530.2947015448917, shape=(), dtype=float64)
tf.Tensor(1101.694637854067, shape=(), dtype=float64)
tf.Tensor(432.83843274398896, shape=(), dtype=float64)
tf.Tensor(865.2313675476959, shape=(), dtype=float64)
tf.Tensor(867.7573667175944, shape=(), dtype=float64)
tf.Tensor(690.9132022738124, shape=(), dtype=float64)
tf.Tensor(965.1546207591934, shape=(), dtype=float64)
tf.Tensor(1192.241439373282, shape=(), dtype=float64)
tf.Tensor(1170.6438806960227, shape=(), dtype=float64)
tf.Tensor(1061.4787093379878, shape=(), dtype=float64)
tf.Tensor(920.7825284809782, shape=(), dtype=float64)
tf.Tensor(1016.2560862779328, shape=(), dtype=float64)
tf.Tensor(679.1747535749746, shape=(), dtype=float64)
tf.Tensor(1180.849595924556, shape=(), dtype=float64)
tf.Tensor(676.6699425825143, shape=(), dtype=float64)
tf.Tensor(595.1403620847002, shape=(), dtype=float64)
tf.Tensor(1280.8163385221847, shape=(), dtype=float64)
tf.Tensor(1159.5510492494564, shape=(), dtype=float64)
tf.Tensor(762.7038452381785, shape=(), dtype=float64)
tf.Tensor(1272.0053482083204, shape=(), dtype=float64)
tf.Tensor(758.6798308857127, shape=(), dtype=float64)
tf.Tensor(1095.6313070835981, shape=(), dtype=float64)
tf.Tensor(1184.829829608531, shape=(), dtype=float64)
tf.Tensor(1276.6678444695513, shape=(), dtype=float64)
tf.Tensor(820.8311539583807, shape=(), dtype=float64)
tf.Tensor(336.11875936345314, shape=(), dtype=float64)
tf.Tensor(751.5693175666718, shape=(), dtype=float64)
tf.Tensor(1129.2762649969713, shape=(), dtype=float64)
tf.Tensor(654.3735314645237, shape=(), dtype=float64)
tf.Tensor(751.1153635193048, shape=(), dtype=float64)
tf.Tensor(386.43234623370665, shape=(), dtype=float64)
tf.Tensor(663.864653579121, shape=(), dtype=float64)
tf.Tensor(836.8198793754731, shape=(), dtype=float64)
tf.Tensor(592.0866556970599, shape=(), dtype=float64)
tf.Tensor(680.4638601098886, shape=(), dtype=float64)
tf.Tensor(1567.1564524642258, shape=(), dtype=float64)
tf.Tensor(590.9592984829193, shape=(), dtype=float64)
tf.Tensor(602.9986737984539, shape=(), dtype=float64)
tf.Tensor(614.106471871068, shape=(), dtype=float64)
tf.Tensor(606.3857899789248, shape=(), dtype=float64)
tf.Tensor(404.4086717565944, shape=(), dtype=float64)
tf.Tensor(611.9481467616126, shape=(), dtype=float64)
tf.Tensor(537.983661392991, shape=(), dtype=float64)
tf.Tensor(523.3028563641361, shape=(), dtype=float64)
tf.Tensor(607.271204975216, shape=(), dtype=float64)
tf.Tensor(364.95385360525836, shape=(), dtype=float64)
tf.Tensor(721.5749080069239, shape=(), dtype=float64)
tf.Tensor(808.4697914522876, shape=(), dtype=float64)
tf.Tensor(1021.0098498015188, shape=(), dtype=float64)
tf.Tensor(738.7761951904911, shape=(), dtype=float64)
tf.Tensor(707.1503049251223, shape=(), dtype=float64)
tf.Tensor(507.1303994011156, shape=(), dtype=float64)
tf.Tensor(1092.796098449031, shape=(), dtype=float64)
tf.Tensor(1154.5115171611446, shape=(), dtype=float64)
tf.Tensor(490.0780833094221, shape=(), dtype=float64)
tf.Tensor(568.0694787252957, shape=(), dtype=float64)
tf.Tensor(920.0852173049446, shape=(), dtype=float64)
tf.Tensor(652.2285427528848, shape=(), dtype=float64)
tf.Tensor(844.4881157118914, shape=(), dtype=float64)
tf.Tensor(823.7922065387429, shape=(), dtype=float64)
tf.Tensor(832.0987224428551, shape=(), dtype=float64)
tf.Tensor(748.0910853366665, shape=(), dtype=float64)
tf.Tensor(809.0444701491281, shape=(), dtype=float64)
tf.Tensor(850.7142006164424, shape=(), dtype=float64)
tf.Tensor(859.3280974673813, shape=(), dtype=float64)
tf.Tensor(754.7587011729898, shape=(), dtype=float64)
tf.Tensor(269.9660611848209, shape=(), dtype=float64)
tf.Tensor(277.8234290301101, shape=(), dtype=float64)
tf.Tensor(397.17137255689056, shape=(), dtype=float64)
tf.Tensor(616.3174099103023, shape=(), dtype=float64)
tf.Tensor(585.090265640078, shape=(), dtype=float64)
tf.Tensor(538.7015638334288, shape=(), dtype=float64)
tf.Tensor(695.2891262489451, shape=(), dtype=float64)
tf.Tensor(671.070130238392, shape=(), dtype=float64)
tf.Tensor(636.8619705164995, shape=(), dtype=float64)
tf.Tensor(645.5430560592489, shape=(), dtype=float64)
tf.Tensor(666.116542258067, shape=(), dtype=float64)
tf.Tensor(735.8486236013217, shape=(), dtype=float64)
tf.Tensor(666.709685467383, shape=(), dtype=float64)
tf.Tensor(363.417520489321, shape=(), dtype=float64)
tf.Tensor(560.7413586641699, shape=(), dtype=float64)
tf.Tensor(1060.8669561870397, shape=(), dtype=float64)
tf.Tensor(581.3685469953459, shape=(), dtype=float64)
tf.Tensor(1143.2092491459553, shape=(), dtype=float64)
tf.Tensor(438.2564888174864, shape=(), dtype=float64)
tf.Tensor(878.3812439092369, shape=(), dtype=float64)
tf.Tensor(628.911881683793, shape=(), dtype=float64)
tf.Tensor(679.1364268227844, shape=(), dtype=float64)
tf.Tensor(564.2844004486767, shape=(), dtype=float64)
tf.Tensor(555.188636359632, shape=(), dtype=float64)
tf.Tensor(458.85303514344923, shape=(), dtype=float64)
tf.Tensor(390.6651075054375, shape=(), dtype=float64)
tf.Tensor(846.076067808631, shape=(), dtype=float64)
tf.Tensor(317.44229231438584, shape=(), dtype=float64)
tf.Tensor(272.8428069170048, shape=(), dtype=float64)
tf.Tensor(1003.600540149289, shape=(), dtype=float64)
tf.Tensor(613.3454478317137, shape=(), dtype=float64)
tf.Tensor(380.53492622342674, shape=(), dtype=float64)
tf.Tensor(802.7978865165533, shape=(), dtype=float64)
tf.Tensor(1718.7336864753938, shape=(), dtype=float64)
tf.Tensor(517.4457813230865, shape=(), dtype=float64)
tf.Tensor(468.71681133503154, shape=(), dtype=float64)
tf.Tensor(585.2662306419988, shape=(), dtype=float64)
tf.Tensor(608.3787012020839, shape=(), dtype=float64)
tf.Tensor(472.90895345180036, shape=(), dtype=float64)
tf.Tensor(579.8821170383089, shape=(), dtype=float64)
tf.Tensor(558.8059049835734, shape=(), dtype=float64)
tf.Tensor(458.4324470690299, shape=(), dtype=float64)
tf.Tensor(635.039220711086, shape=(), dtype=float64)
tf.Tensor(696.9199713365626, shape=(), dtype=float64)
tf.Tensor(311.64642085197704, shape=(), dtype=float64)
tf.Tensor(731.6058530483184, shape=(), dtype=float64)
tf.Tensor(945.616193280289, shape=(), dtype=float64)
tf.Tensor(1024.1297064682271, shape=(), dtype=float64)
tf.Tensor(589.8031825786944, shape=(), dtype=float64)
tf.Tensor(768.0172118552051, shape=(), dtype=float64)
tf.Tensor(604.9057143645871, shape=(), dtype=float64)
tf.Tensor(329.16891629936435, shape=(), dtype=float64)
tf.Tensor(348.61427854628346, shape=(), dtype=float64)
tf.Tensor(927.4529160732898, shape=(), dtype=float64)
tf.Tensor(967.5135010567938, shape=(), dtype=float64)
tf.Tensor(327.5392774986125, shape=(), dtype=float64)
tf.Tensor(926.5733715881339, shape=(), dtype=float64)
tf.Tensor(422.0883194298789, shape=(), dtype=float64)
tf.Tensor(938.4559947039397, shape=(), dtype=float64)
tf.Tensor(978.3305194946704, shape=(), dtype=float64)
tf.Tensor(414.18059804731166, shape=(), dtype=float64)
tf.Tensor(653.7347569917263, shape=(), dtype=float64)
tf.Tensor(563.5082291222425, shape=(), dtype=float64)
tf.Tensor(573.7052616021698, shape=(), dtype=float64)
tf.Tensor(560.3499511675152, shape=(), dtype=float64)
tf.Tensor(552.5943831311372, shape=(), dtype=float64)
tf.Tensor(895.2147864094484, shape=(), dtype=float64)
tf.Tensor(353.48218736024285, shape=(), dtype=float64)
tf.Tensor(600.4078180566743, shape=(), dtype=float64)
tf.Tensor(696.6039941805532, shape=(), dtype=float64)
tf.Tensor(1226.3491333278944, shape=(), dtype=float64)
tf.Tensor(476.71840372618317, shape=(), dtype=float64)
tf.Tensor(330.04482068619257, shape=(), dtype=float64)
tf.Tensor(739.1256448023232, shape=(), dtype=float64)
tf.Tensor(633.7410163537527, shape=(), dtype=float64)
tf.Tensor(756.8548006799144, shape=(), dtype=float64)
tf.Tensor(361.2686258365451, shape=(), dtype=float64)
tf.Tensor(237.39482046090998, shape=(), dtype=float64)
tf.Tensor(635.01606625309, shape=(), dtype=float64)
tf.Tensor(445.209251683577, shape=(), dtype=float64)
tf.Tensor(982.3305176268302, shape=(), dtype=float64)
tf.Tensor(962.1355849632943, shape=(), dtype=float64)
tf.Tensor(620.4460828748946, shape=(), dtype=float64)
tf.Tensor(855.3189132523955, shape=(), dtype=float64)
tf.Tensor(356.13564957650306, shape=(), dtype=float64)
tf.Tensor(479.7133183395592, shape=(), dtype=float64)
tf.Tensor(525.0805671419366, shape=(), dtype=float64)
tf.Tensor(870.098455133137, shape=(), dtype=float64)
tf.Tensor(436.9796700390616, shape=(), dtype=float64)
tf.Tensor(703.6308661803138, shape=(), dtype=float64)
tf.Tensor(323.8807304596914, shape=(), dtype=float64)
tf.Tensor(1294.5293233617795, shape=(), dtype=float64)
tf.Tensor(551.7133969878116, shape=(), dtype=float64)
tf.Tensor(367.33950329207073, shape=(), dtype=float64)
tf.Tensor(242.9925383241661, shape=(), dtype=float64)
tf.Tensor(733.7002809441022, shape=(), dtype=float64)
tf.Tensor(1028.295686406378, shape=(), dtype=float64)
tf.Tensor(112.92050245327846, shape=(), dtype=float64)
tf.Tensor(228.4234741903776, shape=(), dtype=float64)
tf.Tensor(199.39296823837867, shape=(), dtype=float64)
tf.Tensor(282.23356719607835, shape=(), dtype=float64)
tf.Tensor(927.3947519563706, shape=(), dtype=float64)
tf.Tensor(949.7737311809317, shape=(), dtype=float64)
tf.Tensor(841.2366191704343, shape=(), dtype=float64)
tf.Tensor(408.89857620195767, shape=(), dtype=float64)
tf.Tensor(715.8023353604018, shape=(), dtype=float64)
tf.Tensor(400.81301635105336, shape=(), dtype=float64)
tf.Tensor(740.9329182891088, shape=(), dtype=float64)
tf.Tensor(1012.9434334338293, shape=(), dtype=float64)
tf.Tensor(1162.8645013184898, shape=(), dtype=float64)
tf.Tensor(735.8875882358843, shape=(), dtype=float64)
tf.Tensor(957.3264826466177, shape=(), dtype=float64)
tf.Tensor(951.0375272569021, shape=(), dtype=float64)
tf.Tensor(964.8356193230363, shape=(), dtype=float64)
tf.Tensor(516.685082532106, shape=(), dtype=float64)
tf.Tensor(663.8280087527215, shape=(), dtype=float64)
tf.Tensor(509.2383062495428, shape=(), dtype=float64)
tf.Tensor(561.9381902680755, shape=(), dtype=float64)
tf.Tensor(597.6867301769751, shape=(), dtype=float64)
tf.Tensor(614.4001545177155, shape=(), dtype=float64)
tf.Tensor(783.486010164838, shape=(), dtype=float64)
tf.Tensor(515.1498782431212, shape=(), dtype=float64)
tf.Tensor(1101.706279827602, shape=(), dtype=float64)
tf.Tensor(485.8545535671557, shape=(), dtype=float64)
tf.Tensor(431.4507913985493, shape=(), dtype=float64)
tf.Tensor(995.6586070616744, shape=(), dtype=float64)
tf.Tensor(485.2562106596444, shape=(), dtype=float64)
tf.Tensor(398.06221520985775, shape=(), dtype=float64)
tf.Tensor(628.992981576945, shape=(), dtype=float64)
tf.Tensor(858.5425798295182, shape=(), dtype=float64)
tf.Tensor(397.2325318949821, shape=(), dtype=float64)
tf.Tensor(551.2987884525871, shape=(), dtype=float64)
tf.Tensor(502.614794866876, shape=(), dtype=float64)
tf.Tensor(307.02646577530976, shape=(), dtype=float64)
tf.Tensor(866.3883069576768, shape=(), dtype=float64)
tf.Tensor(438.9812534719073, shape=(), dtype=float64)
tf.Tensor(537.4017148623468, shape=(), dtype=float64)
