tf.Tensor(1141.7085144845666, shape=(), dtype=float64)
tf.Tensor(678.023156059596, shape=(), dtype=float64)
tf.Tensor(771.8108239653906, shape=(), dtype=float64)
tf.Tensor(326.38716750163877, shape=(), dtype=float64)
tf.Tensor(704.3087899555758, shape=(), dtype=float64)
tf.Tensor(535.0590027716535, shape=(), dtype=float64)
tf.Tensor(532.3842387231795, shape=(), dtype=float64)
tf.Tensor(698.8336229608707, shape=(), dtype=float64)
tf.Tensor(817.6580372824094, shape=(), dtype=float64)
tf.Tensor(779.4700203994726, shape=(), dtype=float64)
tf.Tensor(1301.7422742410388, shape=(), dtype=float64)
tf.Tensor(708.3230166956004, shape=(), dtype=float64)
tf.Tensor(636.1932608041803, shape=(), dtype=float64)
tf.Tensor(265.8282136765709, shape=(), dtype=float64)
tf.Tensor(632.6801927283857, shape=(), dtype=float64)
tf.Tensor(766.223332577412, shape=(), dtype=float64)
tf.Tensor(467.42287813245787, shape=(), dtype=float64)
tf.Tensor(549.4700200893647, shape=(), dtype=float64)
tf.Tensor(593.4878862720565, shape=(), dtype=float64)
tf.Tensor(755.6031469258894, shape=(), dtype=float64)
tf.Tensor(491.4926340842612, shape=(), dtype=float64)
tf.Tensor(743.4931634091265, shape=(), dtype=float64)
tf.Tensor(594.3192465258049, shape=(), dtype=float64)
tf.Tensor(451.2903692599997, shape=(), dtype=float64)
tf.Tensor(722.4233628192735, shape=(), dtype=float64)
tf.Tensor(1154.7747753149397, shape=(), dtype=float64)
tf.Tensor(801.1673694244012, shape=(), dtype=float64)
tf.Tensor(748.5999510065552, shape=(), dtype=float64)
tf.Tensor(448.74386658026606, shape=(), dtype=float64)
tf.Tensor(618.1128893922619, shape=(), dtype=float64)
tf.Tensor(543.0622724379566, shape=(), dtype=float64)
tf.Tensor(890.0527215659, shape=(), dtype=float64)
tf.Tensor(301.04062470327045, shape=(), dtype=float64)
tf.Tensor(506.757313389975, shape=(), dtype=float64)
tf.Tensor(506.4496788182332, shape=(), dtype=float64)
tf.Tensor(1081.1985362933258, shape=(), dtype=float64)
tf.Tensor(507.43560937599176, shape=(), dtype=float64)
tf.Tensor(1092.716126647337, shape=(), dtype=float64)
tf.Tensor(471.15123011290416, shape=(), dtype=float64)
tf.Tensor(558.9045949201129, shape=(), dtype=float64)
tf.Tensor(741.3382817201351, shape=(), dtype=float64)
tf.Tensor(584.3407295058271, shape=(), dtype=float64)
tf.Tensor(903.9524457755972, shape=(), dtype=float64)
tf.Tensor(1134.590091032019, shape=(), dtype=float64)
tf.Tensor(600.728665373176, shape=(), dtype=float64)
tf.Tensor(963.4546285548277, shape=(), dtype=float64)
tf.Tensor(879.2158422547848, shape=(), dtype=float64)
tf.Tensor(315.2014605724253, shape=(), dtype=float64)
tf.Tensor(331.88402755069694, shape=(), dtype=float64)
tf.Tensor(330.71945313058603, shape=(), dtype=float64)
tf.Tensor(258.0932848624085, shape=(), dtype=float64)
tf.Tensor(1531.870474163541, shape=(), dtype=float64)
tf.Tensor(910.721651717677, shape=(), dtype=float64)
